name,category,type,content,scope,address,start_date,end_date
천향마라탕,음식점,"discount, offer","1.마라탕만 10%할인(사리,고기추가 제외) 2. 4인 이상 방문시 꿔바로우(소) 제공",건국대학교 ,서울 광진구 아차산로 30길 20,2025-06-10,2025-12-16
감성타코,음식점,offer,2인당 에이드 1잔 제공,건국대학교 공과대학,서울 광진구 능동로13길 39 2층 감성타코,2025-03-01,2025-12-16
산돌구름,교육,event,산돌구름 유료폰트 200종 무료,건국대학교 ,NULL,2025-02-25,2025-08-31
스터디카페 혜윰,교육,discount,4주권 29000원할인,건국대학교 공과대학,서울 광진구 자양로 164 하림빌딩 2층,2025-03-04,2025-12-16
아메리카 요가,건강,discount,10%할인,건국대학교 ,서울 광진구 아차산로 213 5층,2025-03-04,2025-12-16
비취보석사우나,건강,discount,주간(9시-20시) 1천원 할인,건국대학교 공과대학,서울 광진구 뚝섬로 552 삼희빌딩,2025-03-04,2025-12-16
바이진 1호점,미용,discount,모든시술 5%할인,건국대학교 ,"서울 광진구 동일로22길 117-5 1,2층",2025-03-04,2025-12-16
골든네일,미용,discount,"6만원 미만 5천원 할인, 이상 1만원 할인",건국대학교 공과대학,서울 광진구 동일로22길 80 3층,2025-03-04,2025-12-16
서울포차,호프,discount,"5만원 이상 주문 시 뚝배기 할인메뉴 5,900원 서비스",건국대학교 ,서울 광진구 능동로19길 57,2025-04-07,2025-12-16
건대솔방울,호프,discount,7만 5천원 이상 결제시 5%할인,건국대학교 공과대학,서울 광진루 동일로 22길 65 2층,2025-03-01,2025-12-16
거북이 보드게임,엔터,discount,평일 종일권 10%할인 주말종일권 13%할인,건국대학교 ,서울 광진구 능동로13길 26 지하1층,2025-03-04,2025-12-16
"꽃, 한양플라워",엔터,discount,전품목 10% 할인,건국대학교 공과대학,서울 광진구 능동로 145,2025-03-04,2025-12-16
가토베이글,카페,discount,총액의 5%할인,건국대학교 ,서울 광진구 아차산로 57길 33 1층 4호,2025-03-01,2025-12-16
고은별 샌드위치,카페,offer,아이스티 or 아메리카노 제공,건국대학교 공과대학,서울 광진구 자양로 177 1층,2025-03-01,2025-12-16
커먼그라운드 나이키,의류,discount,추가 10% 할인,건국대학교 ,"서울 광진구 아차산로 200 커먼그라운드 스트릿마켓동 1, 2층",2025-03-01,2025-12-16
열란옷장,의류,discount,방문 시 정장 대여료 10% 할인,건국대학교 공과대학 ,서울 광진구 아차산로 213 웅진빌딩 502호,2025-03-01,2025-12-16
동네친구 쉐어하우스,주거,discount,6개월 계약시 5%할인,건국대학교 ,서울 광진구 능동로 13길 75 2층 101호,2025-03-01,2025-12-16
슈니하우스,주거,discount,월세 3만원 할인,건국대학교 공과대학 ,서울 광진구 군자로 5길 24-10 102호 슈니하우스,2025-03-01,2025-12-16
왈왈새내기,음식점,freshman,새내기좋겟다,건국대학교,NULL,2025-03-01,2025-12-16
